country_name,indicator_name,country_last,indicator_last,year_last,value_last,gdp_last,population_last,country_first,indicator_first,year_first,value_first,gdp_first,population_first,improvement
Luxembourg,Interest Income to Total Income (%),LU,GFDD.OI.02,2021,437.1502,85584105993.8746,640064.0,LU,GFDD.OI.02,1960,47.67549,709941874.044355,313970.0,389.47470999999996
"Hong Kong SAR, China",Interest Income to Total Income (%),HK,GFDD.OI.02,2021,402.941,368954169748.818,7413100.0,HK,GFDD.OI.02,1991,169.6396,88959997899.9293,5752000.0,233.30139999999997
Japan,Interest Income to Total Income (%),JP,GFDD.OI.02,2021,259.6056,5034620784584.98,125681593.0,JP,GFDD.OI.02,1960,43.78507,47419238274.4619,93216000.0,215.82053
"Macao SAR, China",Interest Income to Total Income (%),MO,GFDD.OI.02,2021,278.8793,30969334705.0515,682500.0,MO,GFDD.OI.02,1984,72.89571,1304361353.27024,282850.0,205.98359
"Korea, Rep.",Interest Income to Total Income (%),KR,GFDD.OI.02,2021,160.3865,1818432106880.04,51769539.0,KR,GFDD.OI.02,1960,5.310761,3958811881.18812,25012374.0,155.075739
Cambodia,Interest Income to Total Income (%),KH,GFDD.OI.02,2021,130.6155,36790163687.4421,16974305.0,KH,GFDD.OI.02,1993,2.075694,2533727592.04165,8616381.0,128.539806
Mauritius,Interest Income to Total Income (%),MU,GFDD.OI.02,2021,143.4849,11484348857.8529,1266334.0,MU,GFDD.OI.02,1963,16.49216,253839557.949558,718861.0,126.99274000000001
Thailand,Interest Income to Total Income (%),TH,GFDD.OI.02,2021,135.6318,506256494297.34,71727332.0,TH,GFDD.OI.02,1960,12.822,2760750860.62197,26851747.0,122.8098
Nepal,Interest Income to Total Income (%),NP,GFDD.OI.02,2021,109.4767,36924841394.2605,29475010.0,NP,GFDD.OI.02,1960,1.884844,508334413.965087,10123658.0,107.59185599999999
Malaysia,Interest Income to Total Income (%),MY,GFDD.OI.02,2021,122.5862,373784823672.946,34282399.0,MY,GFDD.OI.02,1960,15.53017,1916229477.13657,7956197.0,107.05603
